Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,20.0,6.0,NA,12968.0,2,3,3,1,1,1,1,20,3,3,1,1,5.0,6.0,1962.0,1962.0,4,2,7,11.0,4.0,0,3,3,2,3,3,4,2,737.0,6,0.0,175.0,912.0,2,3,2,1.0,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2,1,3,4.0,1,0.0,6,6,1962,3,1.0,352.0,3,3,1,140.0,0.0,0.0,0.0,176.0,0.0,5,5,6,0.0,9.0,2008.0,1,1,144000
14,20.0,6.0,91,10652.0,2,3,2,1,1,1,1,6,3,3,1,1,7.0,5.0,2006.0,2007.0,2,2,15,15.0,5.0,306,2,3,3,2,3,2,6,0.0,6,0.0,1494.0,1494.0,2,1,2,1.0,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3,1,2,7.0,1,1.0,2,2,2006,2,3.0,840.0,3,3,1,160.0,33.0,0.0,0.0,0.0,0.0,5,5,6,0.0,8.0,2007.0,4,6,279500
15,20.0,6.0,NA,10920.0,2,3,2,1,1,2,1,13,3,3,1,1,6.0,5.0,1960.0,1960.0,4,2,9,9.0,2.0,212,3,3,2,3,3,4,3,733.0,6,0.0,520.0,1253.0,2,3,2,1.0,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2,1,3,5.0,1,1.0,4,2,1960,2,1.0,352.0,3,3,1,0.0,213.0,176.0,0.0,0.0,0.0,5,3,6,0.0,5.0,2008.0,1,1,157000
16,45.0,8.0,51,6120.0,2,3,1,1,1,2,1,4,3,3,1,3,7.0,8.0,1929.0,2001.0,2,2,16,16.0,4.0,0,3,3,1,3,3,4,6,0.0,6,0.0,832.0,832.0,2,1,2,2.0,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2,1,3,5.0,1,0.0,6,6,1991,3,2.0,576.0,3,3,1,48.0,112.0,0.0,0.0,0.0,0.0,5,1,6,0.0,7.0,2007.0,1,1,132000
17,20.0,6.0,NA,11241.0,2,3,2,1,1,3,1,13,3,3,1,1,6.0,7.0,1970.0,1970.0,2,2,16,16.0,2.0,180,3,3,2,3,3,4,2,578.0,6,0.0,426.0,1004.0,2,1,2,1.0,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2,1,3,5.0,1,1.0,3,2,1970,1,2.0,480.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,700.0,3.0,2010.0,1,1,149000
18,90.0,6.0,72,10791.0,2,3,1,1,1,1,1,20,3,3,3,1,4.0,5.0,1967.0,1967.0,2,2,9,9.0,4.0,0,3,3,4,6,6,5,7,0.0,7,0.0,0.0,0.0,2,3,2,1.0,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2,2,3,6.0,1,0.0,6,5,1967,3,2.0,516.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,500.0,10.0,2006.0,1,1,90000
19,20.0,6.0,66,13695.0,2,3,1,1,1,1,1,21,9,3,1,1,5.0,5.0,2004.0,2004.0,2,2,15,15.0,4.0,0,3,3,3,3,3,4,1,646.0,6,0.0,468.0,1114.0,2,1,2,1.0,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3,1,2,6.0,1,0.0,6,6,2004,3,2.0,576.0,3,3,1,0.0,102.0,0.0,0.0,0.0,0.0,5,5,6,0.0,6.0,2008.0,1,1,159000
20,20.0,6.0,70,7560.0,2,3,1,1,1,1,1,13,3,3,1,1,5.0,6.0,1958.0,1965.0,4,2,4,11.0,4.0,0,3,3,2,3,3,4,5,504.0,6,0.0,525.0,1029.0,2,3,2,1.0,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3,1,3,6.0,2,0.0,6,2,1958,3,1.0,294.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,2,6,0.0,5.0,2009.0,5,2,139000
21,60.0,6.0,101,14215.0,2,3,2,1,1,2,1,16,3,3,1,4,8.0,5.0,2005.0,2006.0,2,2,15,15.0,2.0,380,2,3,3,1,3,2,6,0.0,6,0.0,1158.0,1158.0,2,1,2,1.0,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4,1,2,9.0,1,1.0,2,4,2005,2,3.0,853.0,3,3,1,240.0,154.0,0.0,0.0,0.0,0.0,5,5,6,0.0,11.0,2006.0,4,6,325300
22,45.0,8.0,57,7449.0,2,1,1,2,1,1,1,10,3,3,1,3,7.0,7.0,1930.0,1950.0,2,2,16,16.0,4.0,0,3,3,3,3,3,4,6,0.0,6,0.0,637.0,637.0,2,1,2,3.0,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3,1,2,6.0,1,1.0,2,2,1930,3,1.0,280.0,3,3,3,0.0,0.0,205.0,0.0,0.0,0.0,5,1,6,0.0,6.0,2007.0,1,1,139400
23,20.0,6.0,75,9742.0,2,3,1,1,1,1,1,6,3,3,1,1,8.0,5.0,2002.0,2002.0,4,2,15,15.0,2.0,281,2,3,3,2,3,4,6,0.0,6,0.0,1777.0,1777.0,2,1,2,1.0,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3,1,2,7.0,1,1.0,2,2,2002,2,2.0,534.0,3,3,1,171.0,159.0,0.0,0.0,0.0,0.0,5,5,6,0.0,9.0,2008.0,1,1,230000
24,120.0,8.0,44,4224.0,2,3,1,1,1,1,1,11,3,3,4,1,5.0,7.0,1976.0,1976.0,2,2,6,6.0,4.0,0,3,3,3,2,3,4,1,840.0,6,0.0,200.0,1040.0,2,3,2,1.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3,1,3,6.0,1,1.0,3,2,1976,3,2.0,572.0,3,3,1,100.0,110.0,0.0,0.0,0.0,0.0,5,5,6,0.0,6.0,2007.0,1,1,129900
25,20.0,6.0,NA,8246.0,2,3,2,1,1,1,1,20,3,3,1,1,5.0,8.0,1968.0,2001.0,2,2,11,11.0,4.0,0,3,2,2,3,3,3,4,188.0,2,668.0,204.0,1060.0,2,1,2,1.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3,1,2,6.0,1,1.0,3,2,1968,3,1.0,270.0,3,3,1,406.0,90.0,0.0,0.0,0.0,0.0,5,2,6,0.0,5.0,2010.0,1,1,154000
26,20.0,6.0,110,14230.0,2,3,1,1,1,2,1,16,3,3,1,1,8.0,5.0,2007.0,2007.0,2,2,15,15.0,5.0,640,2,3,3,2,3,4,6,0.0,6,0.0,1566.0,1566.0,2,1,2,1.0,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3,1,2,7.0,1,1.0,2,2,2007,2,3.0,890.0,3,3,1,0.0,56.0,0.0,0.0,0.0,0.0,5,5,6,0.0,7.0,2009.0,1,1,256300
27,20.0,6.0,60,7200.0,2,3,1,1,1,2,1,13,3,3,1,1,5.0,7.0,1951.0,2000.0,2,2,16,16.0,4.0,0,3,3,2,3,3,3,3,234.0,4,486.0,180.0,900.0,2,3,2,1.0,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3,1,2,5.0,1,0.0,6,6,2005,3,2.0,576.0,3,3,1,222.0,32.0,0.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2010.0,1,1,134800
28,20.0,6.0,98,11478.0,2,3,1,1,1,1,1,16,3,3,1,1,8.0,5.0,2007.0,2008.0,2,2,15,15.0,5.0,200,2,3,3,1,3,4,1,1218.0,6,0.0,486.0,1704.0,2,1,2,1.0,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3,1,2,7.0,1,1.0,2,2,2008,2,3.0,772.0,3,3,1,0.0,50.0,0.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2010.0,1,1,306000
29,20.0,6.0,47,16321.0,2,3,2,1,1,3,1,13,3,3,1,1,5.0,6.0,1957.0,1997.0,2,2,9,9.0,4.0,0,3,3,2,3,3,1,3,1277.0,6,0.0,207.0,1484.0,2,3,2,1.0,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2,1,3,6.0,1,2.0,2,2,1957,2,1.0,319.0,3,3,1,288.0,258.0,0.0,0.0,0.0,0.0,5,5,6,0.0,12.0,2006.0,1,1,207500
30,30.0,8.0,60,6324.0,2,3,2,1,1,1,1,4,2,4,1,1,4.0,6.0,1927.0,1950.0,2,2,9,9.0,4.0,0,3,3,1,3,3,4,6,0.0,6,0.0,520.0,520.0,2,4,1,1.0,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1,1,4,4.0,1,0.0,6,6,1920,3,1.0,240.0,4,3,1,49.0,0.0,87.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2008.0,1,1,68500
31,70.0,C (all),50,8500.0,2,2,1,1,1,1,1,10,2,3,1,4,4.0,4.0,1920.0,1950.0,3,2,4,4.0,4.0,0,3,4,1,3,3,4,6,0.0,6,0.0,649.0,649.0,2,3,1,1.0,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3,1,3,6.0,1,0.0,6,6,1920,3,1.0,250.0,3,4,3,0.0,54.0,172.0,0.0,0.0,0.0,5,2,6,0.0,7.0,2008.0,1,1,40000
32,20.0,6.0,NA,8544.0,2,3,2,1,1,3,1,20,3,3,1,1,5.0,6.0,1966.0,2006.0,2,2,7,7.0,4.0,0,3,3,2,3,3,4,6,0.0,6,0.0,1228.0,1228.0,2,2,2,1.0,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3,1,2,6.0,1,0.0,6,2,1966,3,1.0,271.0,3,3,1,0.0,65.0,0.0,0.0,0.0,0.0,5,2,6,0.0,6.0,2008.0,1,1,149350
33,20.0,6.0,85,11049.0,2,3,1,1,1,2,1,6,3,3,1,1,8.0,5.0,2007.0,2007.0,2,2,15,15.0,4.0,0,2,3,3,1,3,2,6,0.0,6,0.0,1234.0,1234.0,2,1,2,1.0,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3,1,2,7.0,1,0.0,6,2,2007,2,2.0,484.0,3,3,1,0.0,30.0,0.0,0.0,0.0,0.0,5,5,6,0.0,1.0,2008.0,1,1,179900
34,20.0,6.0,70,10552.0,2,3,2,1,1,1,1,13,3,3,1,1,5.0,5.0,1959.0,1959.0,4,2,4,4.0,4.0,0,3,3,2,3,3,4,4,1018.0,6,0.0,380.0,1398.0,2,2,2,1.0,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4,1,2,6.0,1,1.0,2,2,1959,2,2.0,447.0,3,3,1,0.0,38.0,0.0,0.0,0.0,0.0,5,5,6,0.0,4.0,2010.0,1,1,165500
35,120.0,6.0,60,7313.0,2,3,1,1,1,1,1,16,3,3,4,1,9.0,5.0,2005.0,2005.0,4,2,9,9.0,2.0,246,1,3,3,1,3,4,1,1153.0,6,0.0,408.0,1561.0,2,1,2,1.0,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2,1,1,6.0,1,1.0,2,2,2005,1,2.0,556.0,3,3,1,203.0,47.0,0.0,0.0,0.0,0.0,5,5,6,0.0,8.0,2007.0,1,1,277500
36,60.0,6.0,108,13418.0,2,3,1,1,1,1,1,16,3,3,1,4,8.0,5.0,2004.0,2005.0,2,2,15,15.0,5.0,132,2,3,3,1,3,2,6,0.0,6,0.0,1117.0,1117.0,2,1,2,1.0,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4,1,2,9.0,1,1.0,2,4,2004,1,3.0,691.0,3,3,1,113.0,32.0,0.0,0.0,0.0,0.0,5,5,6,0.0,9.0,2006.0,1,1,309000
37,20.0,6.0,112,10859.0,2,3,1,1,1,2,1,6,3,3,1,1,5.0,5.0,1994.0,1995.0,2,2,15,15.0,4.0,0,3,3,3,2,3,4,6,0.0,6,0.0,1097.0,1097.0,2,1,2,1.0,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3,1,3,6.0,1,0.0,6,2,1995,3,2.0,672.0,3,3,1,392.0,64.0,0.0,0.0,0.0,0.0,5,5,6,0.0,6.0,2009.0,1,1,145000
38,20.0,6.0,74,8532.0,2,3,1,1,1,1,1,13,3,3,1,1,5.0,6.0,1954.0,1990.0,4,2,16,16.0,2.0,650,3,3,2,3,3,4,4,1213.0,6,0.0,84.0,1297.0,2,2,2,1.0,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,3,1,3,5.0,1,1.0,3,2,1954,1,2.0,498.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,10.0,2009.0,1,1,153000
39,20.0,6.0,68,7922.0,2,3,1,1,1,1,1,13,3,3,1,1,5.0,7.0,1953.0,2007.0,2,2,15,15.0,4.0,0,3,2,2,3,3,4,1,731.0,6,0.0,326.0,1057.0,2,3,2,1.0,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3,1,2,5.0,1,0.0,6,6,1953,3,1.0,246.0,3,3,1,0.0,52.0,0.0,0.0,0.0,0.0,5,5,6,0.0,1.0,2010.0,1,2,109000
40,90.0,6.0,65,6040.0,2,3,1,1,1,1,1,8,3,3,3,1,4.0,5.0,1955.0,1955.0,2,2,1,11.0,4.0,0,3,3,3,6,6,5,7,0.0,7,0.0,0.0,0.0,2,3,1,4.0,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,2,2,4,6.0,1,0.0,6,7,NA,4,0.0,0.0,6,6,3,0.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,6.0,2008.0,1,3,82000
41,20.0,6.0,84,8658.0,2,3,1,1,1,1,1,13,3,3,1,1,6.0,5.0,1965.0,1965.0,2,2,16,16.0,2.0,101,3,3,2,3,3,4,4,643.0,6,0.0,445.0,1088.0,2,1,2,1.0,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3,1,3,6.0,1,1.0,3,2,1965,2,2.0,440.0,3,3,1,0.0,138.0,0.0,0.0,0.0,0.0,5,3,6,0.0,12.0,2006.0,1,2,160000
42,20.0,6.0,115,16905.0,2,3,1,1,1,1,1,24,3,3,1,1,5.0,6.0,1959.0,1959.0,2,2,15,15.0,4.0,0,3,2,2,3,3,1,3,967.0,6,0.0,383.0,1350.0,2,2,2,1.0,1328.0,0.0,0.0,1328.0,0.0,1.0,1.0,1.0,2,1,3,5.0,1,2.0,2,2,1959,2,1.0,308.0,3,3,2,0.0,104.0,0.0,0.0,0.0,0.0,5,5,6,0.0,7.0,2007.0,1,1,170000
43,85.0,6.0,NA,9180.0,2,3,2,1,1,3,1,21,3,3,1,7,5.0,7.0,1983.0,1983.0,2,2,7,7.0,4.0,0,3,3,2,2,3,2,2,747.0,5,93.0,0.0,840.0,2,2,2,1.0,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2,1,2,5.0,1,0.0,6,2,1983,2,2.0,504.0,3,2,1,240.0,0.0,0.0,0.0,0.0,0.0,5,2,6,0.0,12.0,2007.0,1,1,144000
44,20.0,6.0,NA,9200.0,2,3,2,1,1,3,1,6,3,3,1,1,5.0,6.0,1975.0,1980.0,4,2,15,15.0,4.0,0,3,3,2,2,3,2,5,280.0,3,491.0,167.0,938.0,2,3,2,1.0,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3,1,3,5.0,1,0.0,6,6,1977,3,1.0,308.0,3,3,1,145.0,0.0,0.0,0.0,0.0,0.0,5,2,6,0.0,7.0,2008.0,1,1,130250
45,20.0,6.0,70,7945.0,2,3,1,1,1,1,1,13,3,3,1,1,5.0,6.0,1959.0,1959.0,2,2,4,16.0,4.0,0,3,3,2,3,3,4,2,179.0,3,506.0,465.0,1150.0,2,1,2,2.0,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0.0,3,1,3,6.0,1,0.0,6,2,1959,2,1.0,300.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2006.0,1,1,141000
46,120.0,6.0,61,7658.0,2,3,1,1,1,1,1,16,3,3,4,1,9.0,5.0,2005.0,2005.0,4,2,9,9.0,2.0,412,1,3,3,1,3,4,1,456.0,6,0.0,1296.0,1752.0,2,1,2,1.0,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2,1,1,6.0,1,1.0,2,2,2005,2,2.0,576.0,3,3,1,196.0,82.0,0.0,0.0,0.0,0.0,5,5,6,0.0,2.0,2010.0,1,1,319900
47,50.0,6.0,48,12822.0,2,3,2,1,1,3,1,12,3,3,1,2,7.0,5.0,2003.0,2003.0,2,2,15,15.0,4.0,0,2,3,3,1,3,4,1,1351.0,6,0.0,83.0,1434.0,2,1,2,1.0,1518.0,631.0,0.0,2149.0,1.0,0.0,1.0,1.0,1,1,2,6.0,1,1.0,1,2,2003,2,2.0,670.0,3,3,1,168.0,43.0,0.0,0.0,198.0,0.0,5,5,6,0.0,8.0,2009.0,1,2,239686
48,20.0,3.0,84,11096.0,2,3,1,1,1,1,1,22,3,3,1,1,8.0,5.0,2006.0,2006.0,2,2,15,15.0,4.0,0,2,3,3,2,3,2,1,24.0,6,0.0,1632.0,1656.0,2,1,2,1.0,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3,1,2,7.0,1,0.0,6,2,2006,2,3.0,826.0,3,3,1,0.0,146.0,0.0,0.0,0.0,0.0,5,5,6,0.0,7.0,2007.0,1,1,249700
49,190.0,8.0,33,4456.0,2,3,1,1,1,1,1,18,3,3,2,4,4.0,5.0,1920.0,2008.0,2,2,9,9.0,4.0,0,3,3,1,3,3,4,6,0.0,6,0.0,736.0,736.0,2,2,2,1.0,736.0,716.0,0.0,1452.0,0.0,0.0,2.0,0.0,2,3,3,8.0,1,0.0,6,7,NA,4,0.0,0.0,6,6,3,0.0,0.0,102.0,0.0,0.0,0.0,5,5,6,0.0,6.0,2009.0,4,6,113000
50,20.0,6.0,66,7742.0,2,3,1,1,1,1,1,20,3,3,1,1,5.0,7.0,1966.0,1966.0,2,2,7,7.0,4.0,0,3,3,2,3,3,4,3,763.0,6,0.0,192.0,955.0,2,1,2,1.0,955.0,0.0,0.0,955.0,1.0,0.0,1.0,0.0,3,1,3,6.0,1,0.0,6,2,1966,3,1.0,386.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,2,6,0.0,1.0,2007.0,1,1,127000
51,60.0,6.0,NA,13869.0,2,3,3,1,1,2,1,9,3,3,1,4,6.0,6.0,1997.0,1997.0,2,2,15,15.0,4.0,0,3,3,3,2,3,2,1,182.0,6,0.0,612.0,794.0,2,2,2,1.0,794.0,676.0,0.0,1470.0,0.0,1.0,2.0,0.0,3,1,3,6.0,1,0.0,6,2,1997,1,2.0,388.0,3,3,1,0.0,75.0,0.0,0.0,0.0,0.0,5,5,6,0.0,7.0,2007.0,1,1,177000
52,50.0,8.0,52,6240.0,2,3,1,1,1,1,1,4,3,3,1,2,6.0,6.0,1934.0,1950.0,2,2,16,16.0,4.0,0,3,3,3,3,3,4,6,0.0,6,0.0,816.0,816.0,2,3,2,1.0,816.0,0.0,360.0,1176.0,0.0,0.0,1.0,0.0,3,1,3,6.0,1,1.0,2,6,1985,3,2.0,528.0,3,3,1,112.0,0.0,0.0,0.0,0.0,0.0,5,2,4,400.0,9.0,2006.0,1,1,114500
53,90.0,8.0,110,8472.0,1,3,3,2,1,2,2,10,4,3,3,1,5.0,5.0,1963.0,1963.0,2,2,16,16.0,4.0,0,4,3,2,2,3,1,5,104.0,1,712.0,0.0,816.0,2,3,1,1.0,816.0,0.0,0.0,816.0,1.0,0.0,1.0,0.0,2,1,3,5.0,1,0.0,6,5,1963,3,2.0,516.0,3,3,1,106.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2010.0,1,1,110000
